scenario,rep,n_inducing,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
strong_heterogeneous,0,80,0.02,exact_gp,population_ate_bb,1.0,0.749623599647502,-0.250376400352498,0.250376400352498,0.06268834185347434,0.4630920211725086,1.037449951342165,0.5743579301696565,1.0,0.1483970127826098
strong_heterogeneous,1,80,0.02,exact_gp,population_ate_bb,1.0,0.8269998036776335,-0.17300019632236652,0.17300019632236652,0.02992906792757736,0.5443507874567182,1.1127002984201142,0.568349510963396,1.0,0.1441106634969582
strong_heterogeneous,2,80,0.02,exact_gp,population_ate_bb,1.0,0.8445451448486359,-0.15545485515136415,0.15545485515136415,0.02416621199013161,0.5441775748121398,1.1279698872179043,0.5837923124057645,1.0,0.14721681334320127
strong_heterogeneous,3,80,0.02,exact_gp,population_ate_bb,1.0,0.9821302695284037,-0.017869730471596346,0.017869730471596346,0.00031932726712749894,0.694730847931337,1.2749540911351558,0.5802232432038188,1.0,0.14943931631312452
strong_heterogeneous,4,80,0.02,exact_gp,population_ate_bb,1.0,0.9367771183542566,-0.06322288164574341,0.06322288164574341,0.003997132763591679,0.6692476883365479,1.2395406013615524,0.5702929130250045,1.0,0.14537653330138853
strong_heterogeneous,5,80,0.02,exact_gp,population_ate_bb,1.0,1.164979324041388,0.16497932404138793,0.16497932404138793,0.02721817736115328,0.8726705298703648,1.4584775319108614,0.5858070020404966,1.0,0.1517547440747524
strong_heterogeneous,6,80,0.02,exact_gp,population_ate_bb,1.0,0.9817487606533691,-0.018251239346630865,0.018251239346630865,0.0003331077376880067,0.6796492310623387,1.2765551388394483,0.5969059077771096,1.0,0.15037737520050154
strong_heterogeneous,7,80,0.02,exact_gp,population_ate_bb,1.0,1.0271999057163448,0.027199905716344785,0.027199905716344785,0.0007398348709780457,0.7258966371423689,1.3256195309594458,0.599722893817077,1.0,0.15124997798065476
strong_heterogeneous,8,80,0.02,exact_gp,population_ate_bb,1.0,1.0224490591554376,0.0224490591554376,0.0224490591554376,0.0005039602569643368,0.7182166157018284,1.3127992703957096,0.5945826546938813,1.0,0.14810031896730821
strong_heterogeneous,9,80,0.02,exact_gp,population_ate_bb,1.0,1.0142407179552388,0.014240717955238846,0.014240717955238846,0.00020279804788066207,0.7170960789027496,1.287471313259248,0.5703752343564983,1.0,0.14447000682392883
