n_inducing,mean_proc_mean,q95_proc_mean,mean_proc_cov,q95_proc_cov,n_reps,passes
80,0.09694799891280488,0.15016831410707798,0.9178009774996958,1.0447340906015299,1000,False
120,0.06091844211929428,0.08604659114344115,0.4214952760039749,0.47138804771817616,1000,False
160,0.04377219984204727,0.0603686909179186,0.250495864947254,0.27933059223499784,1000,False
200,0.033283787319159874,0.04539053950624113,0.15628290170428663,0.1745830362756299,1000,False
240,0.025582477337698247,0.03422183063505466,0.10310607643954234,0.11393920973015739,1000,False
280,0.019856178699407392,0.025962140726871884,0.07198124116087382,0.07924623214837394,1000,True
320,0.015352017847083043,0.020041127262277726,0.05125233376572071,0.056241719005509616,1000,True
400,0.009535941443047808,0.012312446598098973,0.02804646224525055,0.030673905684686517,1000,True
480,0.005854166166437998,0.007608596006651218,0.01586809678064885,0.017285581056406634,1000,True
