n_rff,signal_sd,noise_sd,lengthscale_mode,initial_lengthscale,initial_treatment_lengthscale,selected_lengthscale_mean,selected_treatment_lengthscale_mean,estimand,comparison,n_reps,posterior_mean_difference,abs_error_difference,posterior_sd_ratio,ci_width_ratio
50,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_onestep_logistic_pi,1000,0.0003304640836394744,0.0001418008167578722,0.9601888302318377,0.9593376612293133
50,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_raw,1000,-0.0003261243751912382,0.0013803034303968467,2.7443078520913033,2.742748622733326
50,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_full,1000,0.05688899821664337,-0.13672266144119166,1.1066657689957573,1.114731059299714
50,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_meanfield,1000,0.05754558667547408,-0.13796116405483064,0.3903018908734141,0.39299040648547956
100,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_onestep_logistic_pi,1000,-8.852267685298255e-05,-0.0002500807058601723,0.9381726577987298,0.9383405516768828
100,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_raw,1000,-0.0008916466164924444,-0.0006764774327763425,3.6257458708853862,3.6280603567818845
100,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_full,1000,0.04657695213570702,-0.05427944043713589,0.9070606768483194,0.9131956392571671
100,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_meanfield,1000,0.04738007607534648,-0.053853043710219706,0.23587663320315505,0.23731371504948295
200,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_onestep_logistic_pi,1000,8.131505802966282e-05,0.0003135027544553236,0.995328268846916,1.0013176933847436
200,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_raw,1000,0.0003971562991123654,0.0024695941980992205,4.824738401206656,4.8252847569402855
200,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_full,1000,0.040467430808198465,-0.03143337740103452,0.8339460723801749,0.8382074473828466
200,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_meanfield,1000,0.040151589567115765,-0.03358946884467841,0.17232887195839033,0.17412036638958076
400,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_onestep_logistic_pi,1000,0.00027711078963607686,0.0002968625384819613,1.159871871323411,1.1783598767693622
400,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,meanfield_minus_full_raw,1000,-0.00210404929163909,0.007641634000761135,6.4433148737791015,6.444805754020065
400,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_full,1000,0.02843339071789719,-0.009826414510236251,0.8077101741500785,0.8104495041833856
400,1.0,0.5,fixed,10.0,0.55,10.0,0.5499999999999999,sample_ate,onestep_minus_raw_meanfield,1000,0.03081455079917236,-0.017171185972515424,0.1449341035472296,0.14752339712565826
