scenario,rep,n_rff,pi_clip,method,estimand,true_value,posterior_mean,bias,abs_error,squared_error,ci_lower,ci_upper,ci_width,covered,posterior_sd
strong_heterogeneous,0,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.7581027196877894,-0.24189728031221058,0.24189728031221058,0.05851429422244418,0.4771555761561488,1.0231013665844522,0.5459457904283034,1.0,0.13859746912510315
strong_heterogeneous,1,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.825792153943215,-0.17420784605678497,0.17420784605678497,0.03034837362774449,0.5526937936965352,1.1110239317832244,0.5583301380866893,1.0,0.14360551963053014
strong_heterogeneous,2,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.8059306615596065,-0.19406933844039354,0.19406933844039354,0.03766290812269201,0.5294446791607843,1.0809624045357435,0.5515177253749592,1.0,0.13899611867699405
strong_heterogeneous,3,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0162184346862697,0.01621843468626971,0.01621843468626971,0.0002630376236727965,0.7421827735313682,1.3051320612902102,0.562949287758842,1.0,0.1442681039405014
strong_heterogeneous,4,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9044116796817614,-0.0955883203182386,0.0955883203182386,0.009137126981262188,0.6247245373074124,1.1813975124564955,0.5566729751490831,1.0,0.1429898075044218
strong_heterogeneous,5,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.1616064423244987,0.16160644232449872,0.16160644232449872,0.026116642200781533,0.8923815496856148,1.4405961386117636,0.5482145889261488,1.0,0.14034399999307942
strong_heterogeneous,6,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9943820266118112,-0.005617973388188813,0.005617973388188813,3.156162499039769e-05,0.7239244302808222,1.2769201286345997,0.5529956983537775,1.0,0.14038605010517252
strong_heterogeneous,7,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0262087456634608,0.026208745663460764,0.026208745663460764,0.0006868983492519734,0.7382839565374311,1.3117880401084845,0.5735040835710534,1.0,0.1479264397257029
strong_heterogeneous,8,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9317847813709463,-0.06821521862905366,0.06821521862905366,0.0046533160526095905,0.6499936133877755,1.196384119967104,0.5463905065793284,1.0,0.1412483117855274
strong_heterogeneous,9,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9370849823659103,-0.06291501763408969,0.06291501763408969,0.003958299443897816,0.677685047710578,1.2137583534086884,0.5360733056981104,1.0,0.1389854310110058
strong_heterogeneous,10,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9086839593124887,-0.09131604068751131,0.09131604068751131,0.008338619286843221,0.6252027213543677,1.1932914227204705,0.5680887013661028,1.0,0.14186544782071317
strong_heterogeneous,11,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.0441453388979367,0.0441453388979367,0.0441453388979367,0.0019488109464136834,0.7617832287940703,1.317807779539932,0.5560245507458615,1.0,0.14382394830914802
strong_heterogeneous,12,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9667921726927193,-0.03320782730728067,0.03320782730728067,0.0011027597944701757,0.7013204092041078,1.226392446743175,0.5250720375390673,1.0,0.1366076399452715
strong_heterogeneous,13,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9325078416550276,-0.06749215834497235,0.06749215834497235,0.004555191438062821,0.6551835174216719,1.2117451677394713,0.5565616503177994,1.0,0.13944514886307294
strong_heterogeneous,14,200,0.02,rff_full_gaussian,population_ate_bb,1.0,0.9194020620645093,-0.08059793793549075,0.08059793793549075,0.0064960275994532185,0.6388835186375719,1.1888765111317336,0.5499929924941618,1.0,0.1418892644626519
strong_heterogeneous,15,200,0.02,rff_full_gaussian,population_ate_bb,1.0,1.051054377018881,0.051054377018880936,0.051054377018880936,0.002606549412786038,0.7514161568315064,1.3475169860920146,0.5961008292605082,1.0,0.15008910058436384
