n_rff,signal_sd,noise_sd,lengthscale_mode,initial_lengthscale,initial_treatment_lengthscale,selected_lengthscale_mean,selected_treatment_lengthscale_mean,estimand,comparison,n_reps,posterior_mean_difference,abs_error_difference,posterior_sd_ratio,ci_width_ratio
200,1.0,0.5,map,10.0,0.5,10.021421326419885,0.560674397493989,sample_ate,meanfield_minus_full_onestep_logistic_pi,1000,4.734008102245163e-05,0.0003583002974446703,0.9749834875197001,0.9801666706031756
200,1.0,0.5,map,10.0,0.5,10.021421326419885,0.560674397493989,sample_ate,meanfield_minus_full_raw,1000,0.00034659894497209763,0.0005854409756435783,4.689820445416958,4.694387006266722
200,1.0,0.5,map,10.0,0.5,10.021421326419885,0.560674397493989,sample_ate,onestep_minus_raw_full,1000,0.0330953950085986,-0.01853213473530616,0.8562726840210533,0.8604826445235626
200,1.0,0.5,map,10.0,0.5,10.021421326419885,0.560674397493989,sample_ate,onestep_minus_raw_meanfield,1000,0.032796136144648956,-0.018759275413505066,0.17939828441536718,0.1809684599693771
