run_name,run_dir,n,reps,draws,nominal_coverage,pi_model,pi_clip,n_inducing,estimand,kind,variant,target,method,reference_method,n_reps_complete,mean_predictive_mean_standardized_rmse,q95_predictive_mean_standardized_rmse,mean_predictive_cov_relative_frobenius,q95_predictive_cov_relative_frobenius,mean_standardized_mean_abs_diff,q95_standardized_mean_abs_diff,mean_sd_ratio,mean_abs_sd_ratio_error,q95_abs_sd_ratio_error,mean_ci_width_ratio,mean_abs_ci_width_ratio_error,q95_abs_ci_width_ratio_error,bias,absolute_bias,standardized_abs_bias,coverage,coverage_error,mean_ci_width,mean_posterior_sd,empirical_sd_posterior_mean,empirical_to_posterior_sd_ratio,abs_empirical_to_posterior_sd_ratio_error,pass_gp_mean,pass_gp_cov,pass_gp_q95_mean,pass_gp_q95_cov,pass_mean,pass_sd,pass_width,pass_coverage,pass_cal_sd,pass_bias,passes_threshold
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,160,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.04771669990715597,0.11897433593802628,1.0600936828636878,0.06028263155822294,0.10902233772185513,1.0604475725231537,0.06135366958149671,0.12040345790349194,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,200,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.038387689069869245,0.09810646763463197,1.027139283898701,0.030220120735470868,0.0677748790015742,1.0276318309998427,0.03457369105805962,0.08169052687560488,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,240,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.03408444532523615,0.08485943163549489,1.0115467182615703,0.020374253255354857,0.051389940492521366,1.0111248771484538,0.025912041465180235,0.0634867286728068,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,280,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.029961970600032282,0.07346896279831669,1.0065155082890784,0.017934157282717335,0.044425740179376595,1.006626108791588,0.02454752668269758,0.06042738223465571,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,320,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.028674159058011434,0.06855502082382949,1.003257766569273,0.018358158477194485,0.046497183200176095,1.0037040537261992,0.024421165089600856,0.062202659391941736,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,400,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.02666803436310773,0.06436456219509004,1.0011138742116958,0.017844323487551734,0.043687988167850696,1.0010391532911533,0.024262090176495558,0.06188583644133491,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,480,sample_ate,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,1000,,,,,0.0271740640280716,0.06781426788730098,0.9998212514287813,0.017815184303038287,0.0444852812685059,1.0000968080487418,0.024098280656561593,0.058451590630789904,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,80,sample_ate,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,1000,,,,,0.09075431323880907,0.2325816062562749,1.11957079531533,0.11957079531533023,0.17633334519380028,1.120589920368743,0.12058992036874301,0.18865488798878816,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,120,sample_ate,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,1000,,,,,0.06547742119930215,0.16175934846094162,1.0651715569285995,0.06518370475027625,0.10913593473920288,1.0665167467577144,0.06704657669964817,0.12420199606175707,,,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,logistic,0.02,160,sample_ate,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,1000,,,,,0.05005581556487009,0.12492644877298847,1.041388362279809,0.04203642453100136,0.07981581572334186,1.0420219446610286,0.044715557271104205,0.09264819596880373,,,,,,,,,,,False,False,False,False,True,True,True,False,False,False,True
