run_name,run_dir,n,reps,draws,nominal_coverage,estimand,pi_model,pi_clip,kind,variant,target,method,reference_method,m_threshold,n_passing_ranks,n_stably_passing_ranks,available_ranks
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,counterfactual_process,logistic,0.02,gp_raw_eq,raw,exact_gp_counterfactual_posterior,svgp,exact_gp,280.0,4,4,"80,120,160,200,240,280,320,400,480"
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,sample_ate,logistic,0.02,corrected_cal,corrected,true_ate_over_ihdp_realizations,svgp_onestep_logistic_pi,true_value,,0,0,"80,120,160,200,240,280,320,400,480"
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,sample_ate,logistic,0.02,corrected_eq,corrected,exact_gp_posterior,svgp_onestep_logistic_pi,exact_gp_onestep_logistic_pi,160.0,7,7,"80,120,160,200,240,280,320,400,480"
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,sample_ate,logistic,0.02,raw_cal,raw,true_ate_over_ihdp_realizations,svgp,true_value,,0,0,"80,120,160,200,240,280,320,400,480"
ihdp_svgp_fixed_l10_la055_j1e8_r1000,<source-workspace>/outputs/module5_ihdp_svgp/ihdp_svgp_fixed_l10_la055_j1e8_r1000,672,1000,2000,0.95,sample_ate,logistic,0.02,raw_eq,raw,exact_gp_posterior,svgp,exact_gp,200.0,6,6,"80,120,160,200,240,280,320,400,480"
